Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
52.88.63.20-192.168.1.64-443-42182-6,52.88.63.20,443,192.168.1.64,42182,6,13/01/2022 12:02:35 AM,183,1,3,31.0,31.0,31.0,31.0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,338797.81420765026,21857.92349726776,61.0,70.19259220174163,142.0,18.0,0,0,0,0,0,165.0,82.5,84.14570696119915,142.0,23.0,1,0,0,0,32,96,5464.48087431694,16393.44262295082,0.0,31.0,18.6,16.97939928266015,288.30000000000007,1,0,0,2,4,0,0,0,3.0,23.25,31.0,10.333333333333334,0,0,0,0,0,0,0,7,0,7,117,501,0,32,0,0,0,0,1.642011455320395E15,0.0,1.642011455320395E15,1.642011455320395E15,No Label
192.168.1.64-35.82.87.100-43308-443-6,192.168.1.64,43308,35.82.87.100,443,6,13/01/2022 12:02:36 AM,14,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,2214285.714285714,142857.14285714287,14.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,0,1,0,0,0,64,0,142857.14285714287,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.64-35.186.227.140-41738-443-6,192.168.1.64,41738,35.186.227.140,443,6,13/01/2022 12:02:32 AM,4125347,4,2,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,0.0,19.5,27.577164466275352,34.17894300770335,1.4544231067107811,825069.4,1815255.3481324052,4072040.0,6.0,4125347.0,1375115.6666666665,2335752.341051237,4072040.0,417.0,11.0,11.0,0.0,11.0,11.0,1,0,0,0,128,64,0.9696154044738541,0.48480770223692704,0.0,39.0,25.714285714285715,18.400310556385413,338.5714285714285,1,0,0,4,6,0,0,0,0.0,30.0,25.5,19.5,0,0,0,0,0,0,0,17,0,6,501,267,2,32,0,0,0,0,1.6420114536722658E15,2366405.5993925333,1.642011456404585E15,1.642011452279672E15,No Label
192.168.1.64-34.120.208.123-33204-443-6,192.168.1.64,33204,34.120.208.123,443,6,13/01/2022 12:02:35 AM,1336981,14,11,1748.0,1274.0,719.0,0.0,124.85714285714288,244.08852654561377,580.0,0.0,115.81818181818183,209.32119729345052,2260.3163395740103,18.698844635787644,55707.541666666664,155984.4354484514,751780.0,1.0,1336981.0,102844.69230769231,225961.71183388,806892.0,4.0,525699.0,52569.9,65610.90714956538,216986.0,2.0,0,0,0,0,456,360,10.47135299604108,8.227491639746564,0.0,719.0,116.23076923076921,221.5614240236432,49089.464615384626,1,2,0,12,24,0,0,0,0.0,120.88,124.85714285714286,115.81818181818181,0,0,0,0,12,2368,0,69,0,50,64240,272,8,32,0,0,0,0,1.6420114553608872E15,260845.07611203418,1.642011456349425E15,1.642011455068156E15,No Label
192.168.1.64-13.227.141.146-36440-443-6,192.168.1.64,36440,13.227.141.146,443,6,13/01/2022 12:02:36 AM,519,2,0,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0,0,0,0,121387.2832369942,3853.5645472061656,519.0,0.0,519.0,519.0,519.0,519.0,0.0,519.0,519.0,0,0,0,0,0,1,0,0,0,64,0,3853.5645472061656,0.0,24.0,39.0,34.0,8.660254037844387,75.0,1,0,0,2,2,0,0,0,0.0,51.0,31.5,0.0,0,0,0,0,0,0,1,31,0,0,501,0,1,32,0,0,0,0,0,0,0,0,No Label
35.186.227.140-192.168.1.64-443-41738-6,35.186.227.140,443,192.168.1.64,41738,6,13/01/2022 12:02:36 AM,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,64,0,105263.15789473684,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,267,0,0,32,0,0,0,0,0,0,0,0,No Label
34.120.208.123-192.168.1.64-443-33204-6,34.120.208.123,443,192.168.1.64,33204,6,13/01/2022 12:02:36 AM,70,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,28571.428571428572,70.0,0.0,70.0,70.0,70.0,70.0,0.0,70.0,70.0,0,0,0,0,0,0,0,0,0,64,0,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,272,0,0,32,0,0,0,0,0,0,0,0,No Label
13.227.141.146-192.168.1.64-443-36440-6,13.227.141.146,443,192.168.1.64,36440,6,13/01/2022 12:02:36 AM,578,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3460.2076124567475,578.0,0.0,578.0,578.0,578.0,578.0,0.0,578.0,578.0,0,0,0,0,0,0,0,0,0,64,0,3460.2076124567475,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,10,0,0,32,0,0,0,0,0,0,0,0,No Label
35.82.87.100-192.168.1.64-443-43308-6,35.82.87.100,443,192.168.1.64,43308,6,13/01/2022 12:02:36 AM,39,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,794871.7948717949,76923.07692307692,19.5,3.5355339059327378,22.0,17.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,1,0,0,0,64,20,51282.05128205128,25641.02564102564,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,114,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.1.64-151.101.128.223-58458-443-6,192.168.1.64,58458,151.101.128.223,443,6,13/01/2022 12:03:29 AM,3767475,53,52,3468.0,64029.0,578.0,0.0,65.43396226415098,180.56135857098147,2800.0,0.0,1231.3269230769238,752.8884957974007,17915.712778452413,27.87012521649115,36225.72115384614,153848.95417205186,1151488.0,1.0,3767475.0,72451.4423076923,212494.15859832097,1151488.0,9.0,2524719.0,49504.294117647034,171051.71420635266,1040239.0,9.0,0,0,0,0,1704,1672,14.067777490228867,13.802347726262283,0.0,2800.0,636.7641509433961,796.9710940792291,635162.9247978436,1,2,0,34,104,0,0,0,0.0,642.8285714285714,65.43396226415095,1231.326923076923,0,0,0,0,51,27118,0,33,0,609,64240,297,7,32,0,0,0,0,1.6420115113841572E15,885931.0710770347,1.642011512275324E15,1.642011509660119E15,No Label
