time,count,count In,count Out
00:02:38,9,5,4
00:03:56,14,7,7
00:04:21,13,5,8
00:04:22,8,1,7
00:04:24,6,1,5
00:04:25,4,0,4
00:04:26,5,0,5
00:04:28,11,7,4
00:04:30,1,0,1
00:04:46,24,7,17
00:04:48,6,3,3
00:04:49,10,5,5
00:04:51,3,2,1
00:05:15,1,1,0
00:05:18,3,1,2
00:05:23,3,1,2
00:06:02,2,1,1
00:06:03,1,0,1
00:06:04,2,1,1
00:06:38,4,2,2
00:07:40,24,7,17
00:08:41,33,12,21
00:09:43,17,7,10
00:10:44,10,4,6
00:11:45,3,1,2
00:11:46,6,3,3
00:11:49,4,2,2
00:11:50,1,0,1
00:11:52,2,2,0
00:12:55,6,2,4
00:13:56,1,0,1
00:13:57,9,2,7
00:14:00,1,0,1
00:14:03,3,2,1
00:14:15,1,1,0
00:14:16,14,7,7
00:14:17,4,1,3
00:14:47,21,6,15
00:15:17,5,2,3
00:16:18,6,0,6
00:17:19,26,11,15
00:18:17,5,2,3
00:19:11,14,6,8
00:19:33,5,2,3
00:19:34,1,0,1
00:20:05,7,4,3
00:21:07,10,5,5
00:21:29,5,3,2
00:21:30,8,2,6
00:21:31,2,0,2
00:21:32,2,1,1
00:21:42,5,0,5
00:21:46,2,1,1
00:21:47,2,1,1
00:21:48,1,0,1
00:21:51,3,2,1
00:22:54,14,7,7
00:23:29,15,8,7
00:23:45,9,4,5
00:23:46,2,1,1
00:23:54,14,6,8
00:24:01,10,5,5
00:24:02,4,1,3
00:24:03,1,0,1
00:24:04,3,2,1
00:24:27,8,4,4
00:25:29,9,5,4
00:26:19,10,4,6
00:26:51,15,6,9
00:27:52,9,5,4
00:28:53,4,1,3
00:29:25,4,1,3
00:29:29,5,2,3
00:30:07,6,2,4
00:30:19,13,7,6
00:31:21,7,3,4
00:32:22,7,3,4
00:32:23,2,0,2
00:33:02,12,5,7
00:33:03,7,2,5
00:35:04,5,2,3
00:36:06,4,2,2
00:37:07,5,2,3
00:38:08,5,2,3
00:39:10,8,3,5
00:40:11,8,4,4
00:41:13,6,2,4
00:41:24,1,1,0
00:41:28,3,1,2
00:42:29,11,4,7
00:42:51,2,1,1
00:42:53,24,7,17
00:44:54,18,8,10
00:45:55,10,5,5
00:46:01,1,0,1
00:46:26,7,3,4
00:46:29,2,0,2
00:46:33,3,0,3
00:46:45,1,1,0
00:46:47,2,1,1
00:46:49,1,0,1
00:47:05,2,0,2
00:47:11,3,1,2
00:47:13,7,0,7
00:47:14,16,0,16
00:47:23,1,0,1
00:47:27,2,1,1
00:47:50,3,2,1
00:48:01,1,0,1
00:48:03,2,1,1
00:48:22,2,0,2
00:48:56,36,14,22
00:49:14,11,5,6
00:49:15,1,0,1
00:49:26,1,0,1
00:49:28,1,1,0
00:49:29,1,1,0
00:49:54,1,1,0
00:50:01,1,0,1
00:50:14,4,2,2
00:50:16,10,0,10
00:50:22,1,0,1
00:50:25,1,0,1
00:50:26,2,1,1
00:51:11,2,1,1
00:52:06,28,10,18
00:52:19,3,1,2
00:52:26,2,0,2
00:53:17,8,4,4
00:54:19,9,4,5
00:55:21,2,0,2
00:56:22,9,5,4
00:57:24,4,1,3
00:58:25,7,3,4
00:59:26,1,1,0
01:00:28,9,3,6
01:01:29,2,2,0
01:02:31,19,7,12
01:03:10,4,2,2
01:04:11,4,2,2
01:05:13,8,3,5
01:06:14,5,3,2
01:07:15,5,1,4
01:08:17,5,3,2
01:09:18,8,3,5
01:10:20,7,4,3
01:11:21,3,0,3
01:12:23,6,4,2
01:13:24,3,0,3
01:14:26,8,5,3
01:15:27,4,1,3
01:16:28,5,3,2
01:17:30,2,1,1
01:18:31,5,3,2
01:19:33,2,1,1
01:20:34,6,2,4
01:21:36,10,5,5
01:22:37,7,3,4
01:23:38,5,3,2
01:24:40,2,1,1
01:25:41,6,3,3
01:26:43,3,2,1
01:27:44,3,2,1
01:28:46,3,2,1
01:29:47,2,0,2
01:30:49,7,5,2
01:31:50,1,0,1
01:32:51,9,5,4
01:33:53,2,0,2
01:34:54,3,3,0
01:35:56,3,1,2
01:36:57,3,3,0
01:37:59,3,1,2
01:39:00,10,5,5
07:04:36,9,4,5
07:05:03,13,6,7
